form_id,form
1,(unverständlich)
2,hmm
3,jungschi
4,brunch
5,i
6,ha
7,so
8,e
9,hunne
10,lachfläsh
11,gha
12,u
13,de
14,het
15,tönt
16,wie
17,ne
18,verreckendi
19,seerobbe
20,när
21,(.)
22,di
23,chlini
24,ganz
25,zit
26,sie
27,nomau
28,müesse
29,afa
30,lache
31,das
32,isch
33,öppe
34,zwöi
35,minute
36,gange
37,mhm
38,ehm
39,einisch
40,im
41,monet
42,okay
43,guet
44,wär
45,viu
46,aber
47,mir
48,hei
49,semester
50,numme
51,oder
52,tüe
53,zmörgele
54,brunche
55,mit
56,späck
57,eier
58,wichtig
59,dr
60,speck
61,henne
62,höche
63,bi
64,üs
65,ja
66,richtig
67,gruusig
68,we
69,d
70,muesch
71,brate
72,wüu
73,es
74,fett
75,wo
76,use
77,chunnt
78,heimer
79,ufruume
80,after
81,time
82,meistens
83,öpper
84,vorbereitet
85,irgendwie
86,XXX
87,itz
88,läsä
89,mer
90,nes
91,buech
92,vertöife
93,rächt
94,kompliziert
95,eis
96,mau
97,bini
98,vou
99,nid
100,drus
101,cho
102,mou
103,has
104,verstange
105,weisch
106,was
107,gits
108,aues
109,evangeliste
110,prophete
111,vo
112,hirte
113,schregstrich
114,lehrer
115,no
116,öppis
117,dritts
118,haut
119,chli
120,gluegt
121,mache
122,die
123,für
124,ufgabe
125,gsi
126,uhu
127,hää
128,äbä
129,erst
130,däm
131,woni
132,drbi
133,vorher
134,micros
135,speziautag
136,(unverständich)
137,si
138,asträngend
139,chöi
140,nei
141,teiuwis
142,ize
143,gd
144,wuuche
145,hani
146,nerv
147,angeri
148,wuuchene
149,o
150,scho
151,weiss
152,wieso
153,normau
154,oh
155,ching
156,eifach
157,är
158,trotzphase
159,streikt
160,total
161,ga
162,bisle
163,nassi
164,hose
165,nöii
166,alege
167,sicher
168,zä
169,ufem
170,chaute
171,bode
172,ghocket
173,sich
174,wöue
175,leg
176,ungerhose
177,a
178,m
179,tth
180,fingi
181,eh
182,hasse
183,chopfhörer
184,an
185,dès
186,immer
187,usegö
188,zäme
189,aui
190,gsehsch
191,se
192,grüppli
193,ds
194,THUN
195,am
196,bahnhof
197,jede
198,ei
199,airpod
200,dinne
201,dänksch
202,kasperlitheäterli
203,fühle
204,krassischte
205,zwöufi
206,simer
207,bäbelet
208,wart
209,da
210,ir
211,sächste
212,imu
213,(...)
214,weissi
215,bach
216,spaziere
217,picknick
218,ässe
219,chleider
220,rägehose
221,aus
222,rägejacke
223,agleit
224,ufghänkt
225,bir
226,chrüzig
227,einfach
228,nüm
229,usecho
230,hüt
231,zu
232,tags
233,meh
234,meine
235,kita
236,äs
237,umgheit
238,ufstah
239,ihri
240,häng
241,wei
242,tue
243,wüue
244,dräckig
245,gseht
246,fau
247,luschtig
248,us
249,hiufi
250,imfau
251,dä
252,uf
253,hä
254,zwar
255,hesch
256,du
257,nie
258,sand
259,gspiut
260,auso
261,burg
262,bout
263,womer
264,heisst
265,pastor
266,stimmt
267,genau
268,dörfe
269,sandburge
270,beurteile
271,CARAMBAR
272,derfür
273,becho
274,verlore
275,denn
276,heis
277,vergä
278,üsi
279,cool
280,angere
281,förmli
282,ig
283,äbe
284,süsch
285,idee
286,bade
287,gar
288,doch
289,abe
290,gheisse
291,ischs
292,duss
293,cheuter
294,meer
295,zur
296,duschi
297,hets
298,häre
299,ah
300,duusche
301,mr
302,zrügg
303,häregleit
304,nüt
305,bracht
306,gloub
307,s'isch
308,nachem
309,zähni
310,(..)
311,jahr
312,chrank
313,hehe
314,mehrmaus
315,ni
316,fit
317,würk
318,mage
319,darm
320,uhem
321,mi
322,fründ
323,me
324,jung
325,villech
326,gschider
327,em
328,bändeli
329,tuusche
330,wed
331,all
332,inclusive
333,einte
334,zaut
335,art
336,chasch
337,enang
338,usgä
339,verstahnis
340,dass
341,wosch
342,häufe
343,lizisch
344,hotel
345,kultur
346,sowieso
347,guets
348,agebot
349,macht
350,übere
351,huufe
352,vor
353,auem
354,gfaketi
355,überau
356,sis
357,gmerkt
358,chönnte
359,ihm
360,gä
361,verstahs
362,äuä
363,heftig
364,dach
365,agsteute
366,(....)
367,komisch
368,chef
369,gseit
370,verstah
371,nis
372,VOLG
373,kontrolliere
374,niso
375,gchouft
376,ahh
377,zwölf
378,jährige
379,klar
380,dörfte
381,sies
382,verchoufe
383,kirschstängeli
384,wer
385,besuuft
386,aube
387,mim
388,vater
389,fein
390,gfunge
391,baileys
392,gno
393,schlückli
394,porbiere
395,chrazet
396,wii
397,wää
398,bier
399,gärn
400,trinkes
401,je
402,nachdem
403,CHOPFAB
404,ender
405,[irgend
406,buh
407,eh]
408,geburi
409,hönne
410,gstört
411,speter
412,erste
413,überhoupt
414,bsoffe
415,wäres
416,drücke
417,id
418,finger
419,zie
420,zersch
421,schue
422,ab
423,SOMMERSBY
424,mega
425,finge
426,strängi
427,istellig
428,diskutiert
429,zue
430,hallo
431,bso
432,besoffe
433,gö
434,suufe
435,verstahni
436,geisch
437,[
438,]
439,losisch
440,zü
441,musig
442,dine
443,airpods
444,bisch
445,snapchat
446,ungerwägs
447,snappisch
448,snaps
449,obwohl
450,chöntsch
451,rede
452,blödele
453,tschüss
454,angers
455,dir
456,heit
457,nech
458,troffe
459,zum
460,sondern
461,z
462,fiire
463,und
464,chum
465,biite
466,sinn
467,säge
468,dicht
469,wuuchenänd
470,längwilig
471,niemer
472,wider
473,trinke
474,exit
475,probiert
476,spile
477,spili
478,meusch
479,schwirig
480,mittlere
481,extremere
482,dehei
483,müesses
484,muess
485,mä
486,namitag
487,chönt
488,dudes
489,chligruppe
490,konzentriert
491,(unverständllich)
492,headis
493,würd
494,is
495,griff
496,dassi
497,hätt
498,müesste
499,wirsch
500,abgfüut
501,abfüue
502,chaschs
503,wasser
504,insta
505,gläse
506,spass
507,gnue
508,trunke
509,anger
510,usegheit
511,rouhockeyler
512,sogar
513,uttige
514,zuefällig
515,nimmi
516,lug
517,nachbarschft
518,scheisse
519,summer
520,hauetraining
521,aha
522,musikalisch
523,sportlech
524,alphorn
525,horn
526,unihockey
527,einzigi
528,krass
529,räscht
530,usegfulet
531,sportler
532,künstlerklasse
533,normali
534,gymerklasse
535,(.....)
536,woah
537,hm
538,ghöri
539,drzue
540,momänt
541,auber
542,lang
543,bänder
544,lengere
545,usfau
546,cha
547,dür
548,usm
549,sportgymer
550,usegheie
551,(.......)
552,wow
553,inland
554,umgäbig
555,bern
556,fändi
557,chaut
558,biwakne
559,BLUEME
560,fasch
561,möge
562,ufe
563,loufe
564,dänkt
565,zää
566,heiligeschwändi
567,rehaklinik
568,gwüsst
569,haub
570,stung
571,lenger
572,iih
573,rucksack
574,schwerer
575,jakobsweg
576,kilo
577,euf
578,drüü
579,liter
580,pfännli
581,wäg
582,nächste
583,morge
584,liechter
585,gschickt
586,packet
587,inegstopft
588,trage
589,machts
590,super
591,hiufsbereit
592,meischte
593,(........)
594,smartcamp
595,dert
596,nacht
597,ungerkunft
598,müessä
599,[suechä]
600,hammer
601,huh
602,ugh
603,verbringe
604,ohni
605,schwoscht
606,mh
607,ächt
608,gspannt
609,bös
610,gmeint
611,gseh
612,leitigsperson
613,seit
614,sehr
615,hingerfragt
616,überlege
617,chömet
618,weisi
619,hingerfrage
620,söfu
621,läbes
622,dänker
623,macher(..)
624,sache
625,bim
626,gloube
627,houptsach
628,wot
629,orte
630,fänd
631,HAWAII
632,fiume
633,wunderschön
634,dört
635,schei
636,takiitos
637,takentos
638,schön
639,schöni
640,insle
641,zimlech
642,ribi
643,ömu
644,HOHTÜRLI
645,kientalersiite
646,alpe
647,umgekehrte
648,tempo
649,umgekehrti
650,reihefolg
651,änne
652,aso
653,LOCHMÄNNER
654,äne
655,OESCHINE
656,OESCHINESEE
657,blaus
658,hey
659,gstange
660,achegluegt
661,söu
662,beschribe
663,passiert
664,ernst
665,jetzt
666,dünkt
667,ZAKYNTHOS
668,berührt
669,touristisch
670,afang
671,dobe
672,lüt
673,[achä
674,gsehsch]
675,desto
676,witer
677,ache
678,turnschuhe
679,touriste
680,geit
681,sit
682,misstritt
683,gfährdet
684,ufegloffe
685,git
686,itzä
687,dings
688,shuttletaxi
689,taustation
690,see
691,füre
692,eine
693,bärge
694,bruchsch
695,au
696,touris
697,gröselis
698,hingere
699,chöme
700,ufene
701,ume
702,chunnsch
703,rund
704,bergstation
705,vorauem
706,berge
707,natur
708,hashtag
709,naturelife
710,dene
711,schueh
712,naturmönsch
